id,asset,publish_time,source,title,body
R00076,000002.SZ,2025-01-23 09:30:00,research,000002.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00077,000003.SZ,2025-01-23 09:30:00,research,000003.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00078,000004.SZ,2025-01-23 09:30:00,research,000004.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00079,000005.SZ,2025-01-23 09:30:00,research,000005.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00080,000001.SZ,2025-01-24 09:30:00,research,000001.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00081,000002.SZ,2025-01-24 09:30:00,research,000002.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00082,000003.SZ,2025-01-24 09:30:00,research,000003.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00083,000004.SZ,2025-01-24 09:30:00,research,000004.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00084,000005.SZ,2025-01-24 09:30:00,research,000005.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00085,000001.SZ,2025-01-27 09:30:00,research,000001.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00086,000002.SZ,2025-01-27 09:30:00,research,000002.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00087,000003.SZ,2025-01-27 09:30:00,research,000003.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00088,000004.SZ,2025-01-27 09:30:00,research,000004.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00089,000005.SZ,2025-01-27 09:30:00,research,000005.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
